"dtime_local per 10 minutes","95th percentile of rtt_max"
1688790000000,77.86814499999997
1688790600000,79.68185499999998
1688791200000,79.82543999999997
1688791800000,80.91562499999996
1688792400000,80.31505999999997
1688793000000,78.27218499999998
1688793600000,78.80008999999997
1688794200000,79.76570499999997
1688794800000,79.57838999999998
1688795400000,79.85229499999997
1688796000000,79.09568499999997
1688796600000,77.64521499999996
1688797200000,78.40354499999995
1688797800000,80.22100999999996
1688798400000,80.89548999999997
1688799000000,81.01396499999997
1688799600000,80.45334499999997
1688800200000,79.63980499999997
1688800800000,80.75121999999998
1688801400000,82.58581999999998
1688802000000,83.52654499999996
1688802600000,85.39775999999995
1688803200000,84.96270499999996
1688803800000,83.65839499999996
1688804400000,84.29946999999996
1688805000000,86.88147999999995
1688805600000,87.37039999999995
1688806200000,87.26652999999996
1688806800000,87.44492999999997
1688807400000,86.70589499999996
1688808000000,88.40598499999997
1688808600000,91.69863999999998
1688809200000,91.54299999999995
1688809800000,90.96730999999996
1688810400000,90.75946499999993
1688811000000,89.56187999999993
1688811600000,91.04358499999994
1688812200000,93.95323499999994
1688812800000,93.67247499999995
1688813400000,93.10792999999995
1688814000000,92.56705499999995
1688814600000,89.46669499999994
1688815200000,90.77888499999997
1688815800000,93.17871499999997
1688816400000,92.80078499999996
1688817000000,92.97778499999995
1688817600000,91.04141999999997
1688818200000,89.70891999999996
1688818800000,89.43851999999995
1688819400000,92.22731999999996
1688820000000,91.24930999999997
1688820600000,90.50166999999999
1688821200000,90.24641999999999
1688821800000,90.78926499999999
1688822400000,92.52076499999998
1688823000000,93.96479
1688823600000,95.19918999999999
1688824200000,94.20777999999999
1688824800000,94.74103
1688825400000,93.78916
1688826000000,95.55882999999997
1688826600000,98.39398999999996
1688827200000,98.11148999999996
1688827800000,95.87473499999996
1688828400000,94.86364999999996
1688829000000,93.71131999999994
1688829600000,92.81389999999993
1688830200000,95.63798999999995
1688830800000,97.08534999999995
1688831400000,96.03259499999994
1688832000000,95.75165499999996
1688832600000,93.48189499999998
1688833200000,94.73064999999997
1688833800000,96.59984999999995
1688834400000,97.86753499999995
1688835000000,98.11510499999997
1688835600000,99.90972499999995
1688836200000,98.93168499999996
1688836800000,97.55334499999988
1688837400000,98.72993999999987
1688838000000,98.53929999999986
1688838600000,99.05789499999986
1688839200000,97.23973999999984
1688839800000,97.65204499999987
1688840400000,98.74209999999985
1688841000000,99.47923499999985
1688841600000,99.47587499999989
1688842200000,97.89748999999989
1688842800000,101.61362499999993
1688843400000,101.62625999999993
