"dtime_local per 10 minutes","Average of rtt_max"
1688681400000,37.37991392100244
1688682000000,37.06502317113928
1688682600000,37.14131264168723
1688683200000,37.40035360336761
1688683800000,37.27503168185592
1688684400000,37.05727210061083
1688685000000,37.37657918026527
1688685600000,37.12694403901565
1688686200000,37.142916912862795
1688686800000,37.31156218109223
1688687400000,36.683280039220044
1688688000000,36.60142060089798
1688688600000,36.827279339881535
1688689200000,36.3811264350749
1688689800000,36.159799073341
1688690400000,36.3327475629359
1688691000000,35.66287504826645
1688691600000,35.20581792725655
1688692200000,35.10764278784239
1688692800000,34.78699409192381
1688693400000,34.7323802608298
1688694000000,34.59364828308665
1688694600000,33.98259109333398
1688695200000,33.7701475187638
1688695800000,33.92640960130255
1688696400000,33.53153692581599
1688697000000,33.42536137311373
1688697600000,33.60856147838697
1688698200000,33.27012141018275
1688698800000,33.087364331075236
1688699400000,33.209132233258174
1688700000000,33.0194456053512
1688700600000,33.04691607601015
1688701200000,32.991902583631905
1688701800000,32.350619623965244
1688702400000,32.23480147558789
1688703000000,32.37389598904545
1688703600000,32.157137311851834
1688704200000,32.20566893902237
1688704800000,32.23604955269561
1688705400000,31.735602553083766
1688706000000,31.353077655879495
1688706600000,31.412059537582902
1688707200000,31.581074253593666
1688707800000,31.73562415582379
1688708400000,31.763990955205315
1688709000000,31.414903651563634
1688709600000,31.34966238763766
1688710200000,31.503610992607566
1688710800000,31.4780144901442
1688711400000,31.56464534451154
1688712000000,31.886896944691845
1688712600000,31.67706196773151
1688713200000,31.57396482852591
1688713800000,31.886079828355207
1688714400000,32.05829209834012
1688715000000,32.41880099783005
1688715600000,32.706867946547845
1688716200000,32.70028132921601
1688716800000,32.881255338548584
1688717400000,33.438926199536
1688718000000,33.455670700346495
1688718600000,33.658483977776946
1688719200000,33.808960781648146
1688719800000,33.740666419584656
1688720400000,33.66432664102308
1688721000000,33.74806386333549
1688721600000,33.633447846410604
1688722200000,33.670047491788736
1688722800000,33.61709936303245
1688723400000,33.26073949676214
1688724000000,33.45299782635982
1688724600000,33.670433415088425
1688725200000,33.6730464914767
1688725800000,33.7365409027705
1688726400000,33.920753035573505
1688727000000,33.87061460032145
1688727600000,33.81529608948525
1688728200000,34.05306714021449
1688728800000,33.928021184650646
1688729400000,34.017932310246664
1688730000000,34.086288798574024
1688730600000,34.1327936672989
1688731200000,34.01302502266141
1688731800000,34.2170070747447
1688732400000,34.180327882556846
1688733000000,34.162804194432724
1688733600000,34.38686970652094
1688734200000,34.29125691609226
1688734800000,34.72844288678102
1688735400000,35.01061752082957
1688736000000,34.9884496974222
1688736600000,34.97177280787418
1688737200000,34.89068241614713
1688737800000,34.67193226824085
1688738400000,34.65557593539265
1688739000000,34.965572387606095
1688739600000,35.14944257108641
1688740200000,35.6272723092629
1688740800000,35.259314534917365
1688741400000,34.94449467463521
1688742000000,34.86533810423799
1688742600000,34.76817952179344
1688743200000,34.97168825618356
1688743800000,35.5711315675121
1688744400000,35.46420311738498
1688745000000,35.12303914441357
1688745600000,34.80716743867076
1688746200000,34.46794794326242
1688746800000,34.71053909282687
1688747400000,35.30530414650946
1688748000000,35.35126065011057
1688748600000,35.33658453994766
1688749200000,35.1652953203848
1688749800000,34.58805469084914
1688750400000,34.86962680638979
1688751000000,35.23123876245631
1688751600000,35.1647973080348
1688752200000,35.0702250312027
1688752800000,34.96949229139861
1688753400000,34.72495188329268
1688754000000,34.70855693657926
1688754600000,35.08245996773254
1688755200000,34.97808000194844
1688755800000,35.04325118707148
1688756400000,34.94415862431128
1688757000000,34.925370764096165
1688757600000,35.15969354042349
1688758200000,35.45860999559129
1688758800000,35.37004737704966
1688759400000,34.99120898464644
1688760000000,35.07350168074615
1688760600000,35.1579541257774
1688761200000,35.75045409631975
1688761800000,36.136219727611575
1688762400000,35.98025322808192
1688763000000,35.69922748922735
1688763600000,35.970990013308665
1688764200000,35.858854466976865
1688764800000,36.535703393608465
1688765400000,37.22708373810396
1688766000000,37.23266430929703
1688766600000,36.87921540371353
1688767200000,36.72267490604257
1688767800000,36.6316928660136
1688768400000,37.17210954831504
1688769000000,37.781759658004724
1688769600000,37.52273844994033
1688770200000,37.45425508397059
1688770800000,36.9472409687744
1688771400000,36.630808146386634
1688772000000,36.63732690523706
1688772600000,37.18439166720635
1688773200000,36.83980854274107
1688773800000,36.75988758811333
1688774400000,36.35715443211433
1688775000000,35.95253146755012
1688775600000,36.06924645532798
1688776200000,36.12495894810098
1688776800000,35.78766645182468
1688777400000,35.393036969494815
1688778000000,35.13719138105714
1688778600000,34.55736450084515
1688779200000,34.621129925823
1688779800000,34.694582378029004
1688780400000,34.449456729579445
1688781000000,33.966858582633556
1688781600000,33.39358906959825
1688782200000,33.01175479065971
1688782800000,33.14669351309358
1688783400000,33.3317930487144
1688784000000,33.085874273301016
1688784600000,32.54252180105881
1688785200000,32.17975228309255
1688785800000,31.547410797915166
1688786400000,31.39966030810012
1688787000000,31.88434595922724
1688787600000,31.754034539391025
1688788200000,31.499586102604265
1688788800000,31.112159017100215
1688789400000,30.831701803072608
1688790000000,30.860329545612167
1688790600000,31.361622305534162
1688791200000,31.34221500881603
1688791800000,31.24081107469199
1688792400000,31.080185231621325
1688793000000,30.590438995129333
1688793600000,30.780988406608355
1688794200000,31.173571079734085
1688794800000,31.20725286391786
1688795400000,31.099059578334195
1688796000000,30.895532648145053
1688796600000,30.54538400047541
1688797200000,30.716171615559805
1688797800000,31.19818456416733
1688798400000,31.162124355686807
1688799000000,31.070232420902467
1688799600000,30.929634937237598
