Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,WB Model,Whitebox can support download speed,Whitebox can support upload speed
994407,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
805430,AT&T,IPBB,TX,South,-6 hr,-5 hr,18,,,1.5,WR741NDv4,Yes,Yes
13619,Cox,Cable,FL,South,-6 hr,-5 hr,25,,,5,WNR3500L,Yes,Yes
999197,AT&T,IPBB,FL,South,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
1001814,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
994675,AT&T,IPBB,WI,Midwest,-6 hr,-5 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
1006712,Cox,Cable,AZ,West,-7 hr,-7 hr,100,,,10,SK Whitebox 8.0,Yes,Yes
999305,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
7248,Charter,Cable,NY,Northeast,-5 hr,-4 hr,20,,,2,WNR3500L,Yes,Yes
799116,CenturyLink,DSL,OR,West,-8 hr,-7 hr,20,,,0.896,WDR3600,Yes,Yes
999381,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
213670,CenturyLink,DSL,CO,West,-7 hr,-6 hr,12,,,0.896,WR741NDv4,Yes,Yes
999563,AT&T,IPBB,GA,South,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
994419,AT&T,IPBB,IN,Midwest,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
999107,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
600886,AT&T,IPBB,NC,South,-5 hr,-4 hr,18,,,1.5,WDR3600,Yes,Yes
999413,AT&T,IPBB,OK,South,-6 hr,-5 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
6983,CenturyLink,DSL,WA,West,-8 hr,-7 hr,20,,,0.896,WNR3500L,Yes,Yes
994203,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
999129,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
9473,CenturyLink,DSL,IA,Midwest,-6 hr,-5 hr,20,,,0.896,WNR3500L,Yes,Yes
999641,AT&T,IPBB,IL,Midwest,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
797274,Charter,Cable,NY,Northeast,-5 hr,-4 hr,20,,,2,WR741NDv4,Yes,Yes
948134,Hughes,Satellite,IL,Midwest,-6 hr,-5 hr,10,,,1,AC1750v2,Yes,Yes
9713,Charter,Cable,TX,South,-7 hr,-6 hr,20,,,2,WNR3500L,Yes,Yes
994247,AT&T,IPBB,AR,South,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
999817,AT&T,IPBB,WI,Midwest,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
996295,AT&T,IPBB,TX,South,-6 hr,-5 hr,24,,,3,SK Whitebox 8.0,Yes,Yes
11733,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1.5,WNR3500L,Yes,Yes
615144,Hughes,Satellite,IL,Midwest,-6 hr,-5 hr,10,,,1,WR741NDv4,Yes,Yes
621652,AT&T,IPBB,NC,South,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
999543,AT&T,IPBB,IL,Midwest,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
901690,CenturyLink,DSL,CO,West,-7 hr,-6 hr,20,,,0.896,WR1043ND,Yes,Yes
799192,CenturyLink,DSL,IA,Midwest,-6 hr,-5 hr,20,,,0.896,WDR3600,Yes,Yes
1006722,Cox,Cable,GA,South,-5 hr,-4 hr,100,,,10,SK Whitebox 8.0,Yes,Yes
999101,AT&T,IPBB,TX,South,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
6244,Charter,Cable,NY,Northeast,-5 hr,-4 hr,20,,,2,WNR3500L,Yes,Yes
999545,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
29725,Cox,Cable,GA,South,-5 hr,-4 hr,100,,,10,WR1043ND,Yes,Yes
805558,AT&T,IPBB,GA,South,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
999079,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
213472,CenturyLink,DSL,IA,Midwest,-6 hr,-5 hr,20,,,0.896,WR741NDv4,Yes,Yes
210450,AT&T,IPBB,CA,West,-8 hr,-7 hr,18,,,1.5,WR741NDv4,Yes,Yes
5728,CenturyLink,DSL,WA,West,-8 hr,-7 hr,20,,,0.896,WNR3500L,Yes,Yes
994191,AT&T,IPBB,IN,Midwest,-5 hr,-4 hr,24,,,3,SK Whitebox 8.0,Yes,Yes
464,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1.5,WNR3500L,Yes,Yes
9269,Charter,Cable,OH,Midwest,-5 hr,-4 hr,20,,,2,WNR3500L,Yes,Yes
999117,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
805504,AT&T,IPBB,MI,Midwest,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
805630,AT&T,IPBB,NC,South,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
