Unit ID,ISP,Technology,STATE,CENSUS,timezone_offset,timezone_offset_dst,Download,Upload
797466,AT&T,DSL,CA,WEST,-8,-7,6,0.512
797508,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
797584,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
797592,AT&T,UVERSE,CA,WEST,-8,-7,12,1
797620,AT&T,UVERSE,CA,WEST,-8,-7,6,0.768
797704,AT&T,UVERSE,MI,MIDWEST,-5,-4,12,1
797730,AT&T,UVERSE,OK,SOUTH,-6,-5,12,1
797746,AT&T,UVERSE,WI,MIDWEST,-6,-5,3,0.512
797754,AT&T,UVERSE,CA,WEST,-8,-7,45,6
797822,AT&T,UVERSE,WI,MIDWEST,-6,-5,24,3
798324,AT&T,UVERSE,AL,SOUTH,-6,-5,6,1
798716,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
798724,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
