Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
1000141,Windstream,DSL,TX,South,-6,-5,12,12,12,0.768,SK Whitebox 8.0
1000143,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000147,Cincinnati Bell,Fiber,KY,South,-5,-4,50,50,50,10,SK Whitebox 8.0
1000167,Frontier,Fiber,CA,West,-8,-7,50,50,50,50,SK Whitebox 8.0
1000169,Frontier,Fiber,TX,South,-6,-5,75,75,75,75,SK Whitebox 8.0
1000175,Frontier,Fiber,TX,South,-6,-5,75,75,75,75,SK Whitebox 8.0
1000179,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000183,Frontier,Fiber,CA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000185,Frontier,Fiber,CA,West,-8,-7,50,50,50,50,SK Whitebox 8.0
1000199,Frontier,Fiber,CA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000211,Frontier,DSL,ID,West,-7,-6,15,15,15,1,SK Whitebox 8.0
1000219,Frontier,Fiber,WA,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000229,Frontier,DSL,NY,Northeast,-5,-4,10,10,10,1,SK Whitebox 8.0
1000233,Frontier,DSL,IL,Midwest,-6,-5,24,24,24,1,SK Whitebox 8.0
1000235,Frontier,Fiber,FL,South,-5,-4,50,50,50,50,SK Whitebox 8.0
1000251,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000253,Frontier,DSL,NC,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000263,Frontier,DSL,OH,Midwest,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000265,Charter,Cable,MI,Midwest,-5,-4,100,100,100,10,SK Whitebox 8.0
1000275,Frontier,DSL,IN,Midwest,-5,-4,6,6,6,0.768,SK Whitebox 8.0
1000281,Frontier,DSL,NC,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000287,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000289,Frontier,Fiber,OR,West,-8,-7,100,100,100,100,SK Whitebox 8.0
1000291,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
1000299,Windstream,DSL,GA,South,-5,-4,3,3,3,0.768,SK Whitebox 8.0
1000329,Mediacom,Cable,IA,Midwest,-6,-5,100,100,100,10,SK Whitebox 8.0
1000331,Cox,Cable,AZ,West,-7,-7,150,150,150,10,SK Whitebox 8.0
1000333,Comcast,Cable,MD,South,-5,-4,60,60,60,5,SK Whitebox 8.0
1000399,Windstream,DSL,TX,South,-6,-5,24,24,24,1.5,SK Whitebox 8.0
1000401,Windstream,DSL,NC,South,-5,-4,12,12,12,0.768,SK Whitebox 8.0
1000409,Windstream,DSL,MO,Midwest,-6,-5,12,12,12,0.768,SK Whitebox 8.0
1000411,Windstream,DSL,NM,West,-7,-6,6,6,6,0.768,SK Whitebox 8.0
1000413,Cincinnati Bell,DSL,OH,Midwest,-5,-4,30,30,30,3,SK Whitebox 8.0
1000415,Cincinnati Bell,DSL,OH,Midwest,-5,-4,30,30,30,3,SK Whitebox 8.0
1000423,Windstream,DSL,OH,Midwest,-5,-4,12,12,12,0.768,SK Whitebox 8.0
1000429,Windstream,DSL,KY,South,-5,-4,24,24,24,1.5,SK Whitebox 8.0
1000441,Charter,Cable,OH,Midwest,-5,-4,400,400,400,20,SK Whitebox 8.0
1000449,Cincinnati Bell,Fiber,OH,Midwest,-5,-4,50,50,50,10,SK Whitebox 8.0
1000451,Windstream,DSL,PA,Northeast,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000457,Windstream,DSL,IA,Midwest,-6,-5,25,25,25,1.5,SK Whitebox 8.0
1000465,Windstream,DSL,PA,Northeast,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000485,Charter,Cable,CA,West,-8,-7,100,100,100,10,SK Whitebox 8.0
1000495,Frontier,Fiber,FL,South,-5,-4,50,50,50,50,SK Whitebox 8.0
1000497,Windstream,DSL,PA,Northeast,-5,-4,3,3,3,0.384,SK Whitebox 8.0
1000509,Frontier,DSL,NV,West,-8,-7,6,6,6,0.768,SK Whitebox 8.0
